HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Alaves,Villarreal,2,1,11,16,2,0,0,0,0
Real Madrid,Espanol,4,0,11,20,2,0,0,0,0
Valencia,Levante,1,1,6,24,1,0,0,0,0
Ath Bilbao,Ath Madrid,2,0,11,9,1,0,0,0,0
Sevilla,Cadiz,1,1,11,10,1,0,0,0,0
Barcelona,Vallecano,0,1,18,3,0,1,0,0,0
Espanol,Vallecano,0,1,6,13,0,1,0,0,0
Levante,Sevilla,2,3,15,13,1,2,0,0,0
Cadiz,Ath Bilbao,2,3,27,9,0,3,0,0,0
Sociedad,Barcelona,0,1,8,11,0,1,0,0,0
Ath Madrid,Granada,0,0,22,7,0,0,0,0,0
Celta,Getafe,0,2,9,6,0,1,0,0,0
Osasuna,Real Madrid,1,3,12,23,1,2,0,0,0
Mallorca,Alaves,2,1,5,12,2,0,0,0,0
Betis,Elche,0,1,18,9,0,0,0,0,0
Villarreal,Valencia,2,0,12,5,2,0,0,0,0
Barcelona,Cadiz,0,1,18,6,0,0,0,0,0
Granada,Levante,1,4,16,17,0,1,0,0,0
Ath Madrid,Espanol,2,1,10,11,0,0,0,0,0
Ath Bilbao,Celta,0,2,10,6,0,2,0,0,0
Sevilla,Real Madrid,2,3,7,15,2,0,0,0,0
Elche,Mallorca,3,0,6,13,1,0,0,0,0
Alaves,Vallecano,1,0,11,20,0,0,0,0,0
Valencia,Osasuna,1,2,11,9,0,0,0,0,0
Getafe,Villarreal,1,2,12,11,0,2,0,0,0
Sociedad,Betis,0,0,9,9,0,0,0,0,0
Vallecano,Valencia,1,1,11,6,0,0,0,0,0
Osasuna,Alaves,1,0,15,8,0,0,0,0,0
Espanol,Celta,1,0,11,10,0,0,0,0,0
Elche,Sociedad,1,2,10,17,1,2,0,0,0
Levante,Barcelona,2,3,11,14,0,0,0,0,0
Cadiz,Betis,1,2,10,10,0,0,0,0,0
Mallorca,Ath Madrid,1,0,10,9,0,0,0,0,0
Villarreal,Ath Bilbao,1,1,11,12,0,1,0,0,0
Real Madrid,Getafe,2,0,26,8,1,0,0,0,0
Sevilla,Granada,4,2,16,15,1,1,0,0,0
Sociedad,Espanol,1,0,17,8,0,0,0,0,0
Ath Bilbao,Elche,2,1,16,6,1,0,0,0,0
Betis,Osasuna,4,1,24,10,2,0,0,0,0
Granada,Vallecano,2,2,17,10,0,2,0,0,0
Valencia,Cadiz,0,0,5,4,0,0,0,0,0
Barcelona,Sevilla,1,0,19,8,0,0,0,0,0
Getafe,Mallorca,1,0,16,7,0,0,0,0,0
Levante,Villarreal,2,0,13,13,0,0,0,0,0
Celta,Real Madrid,1,2,10,12,0,1,0,0,0
Ath Madrid,Alaves,4,1,14,7,1,0,0,0,0
Espanol,Mallorca,1,0,12,9,1,0,0,0,0
Cadiz,Villarreal,1,0,16,3,0,0,0,0,0
Celta,Betis,0,0,9,7,0,0,0,0,0
Sevilla,Sociedad,0,0,10,13,0,0,0,0,0
Real Madrid,Barcelona,0,4,14,18,0,2,0,0,0
Alaves,Granada,2,3,11,12,0,0,0,0,0
Elche,Valencia,0,1,8,8,0,0,0,0,0
Osasuna,Levante,3,1,20,13,1,0,0,0,0
Vallecano,Ath Madrid,0,1,15,11,0,0,0,0,0
Ath Bilbao,Getafe,1,1,22,7,1,1,0,0,0
Mallorca,Real Madrid,0,3,14,11,0,0,0,0,0
Vallecano,Sevilla,1,1,10,3,0,0,0,0,0
Betis,Ath Bilbao,1,0,8,11,1,0,0,0,0
Sociedad,Alaves,1,0,15,13,0,0,0,0,0
Barcelona,Osasuna,4,0,24,4,3,0,0,0,0
Levante,Espanol,1,1,14,6,0,0,0,0,0
Granada,Elche,0,1,15,13,0,1,0,0,0
Villarreal,Celta,1,0,10,12,0,0,0,0,0
Getafe,Valencia,0,0,16,6,0,0,0,0,0
Ath Madrid,Cadiz,2,1,6,14,1,1,0,0,0
Ath Bilbao,Levante,3,1,17,5,0,0,0,0,0
Cadiz,Vallecano,2,0,13,14,0,0,0,0,0
Elche,Barcelona,1,2,13,20,1,0,0,0,0
Celta,Mallorca,4,3,16,12,2,1,0,0,0
Betis,Ath Madrid,1,3,18,8,1,1,0,0,0
Osasuna,Villarreal,1,0,12,10,0,0,0,0,0
Espanol,Getafe,2,0,4,12,2,0,0,0,0
Valencia,Granada,3,1,12,7,0,0,0,0,0
Real Madrid,Sociedad,4,1,18,1,2,1,0,0,0
Alaves,Sevilla,0,0,14,13,0,0,0,0,0
Mallorca,Sociedad,0,2,13,13,0,1,0,0,0
Granada,Cadiz,0,0,6,12,0,0,0,0,0
Villarreal,Espanol,5,1,19,7,3,0,0,0,0
Sevilla,Betis,2,1,12,10,2,0,0,0,0
Sociedad,Osasuna,1,0,11,11,0,0,0,0,0
Barcelona,Ath Bilbao,4,0,17,6,1,0,0,0,0
Mallorca,Valencia,0,1,23,8,0,1,0,0,0
Getafe,Alaves,2,2,12,7,0,1,0,0,0
Vallecano,Real Madrid,0,1,19,13,0,0,0,0,0
Ath Madrid,Celta,2,0,13,16,1,0,0,0,0
Levante,Elche,3,0,11,8,1,0,0,0,0
Celta,Levante,1,1,8,13,0,0,0,0,0
Espanol,Sevilla,1,1,11,7,0,1,0,0,0
Valencia,Barcelona,1,4,11,6,0,3,0,0,0
Betis,Mallorca,2,1,14,10,1,0,0,0,0
Ath Bilbao,Sociedad,4,0,18,9,0,0,0,0,0
Granada,Villarreal,1,4,20,15,0,2,0,0,0
Osasuna,Ath Madrid,0,3,14,5,0,1,0,0,0
Cadiz,Getafe,1,1,9,6,1,1,0,0,0
Real Madrid,Alaves,3,0,22,7,0,0,0,0,0
Elche,Vallecano,2,1,9,13,0,0,0,0,0
Ath Madrid,Levante,0,1,10,8,0,0,0,0,0
