HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Verona,Udinese,1,2,7,21,1,0,0,0,0
Lazio,Spezia,4,0,13,14,2,0,0,0,0
Lecce,Cremonese,1,1,6,13,1,1,0,0,0
Sampdoria,Monza,0,3,3,13,0,1,0,0,0
Sassuolo,Salernitana,5,0,17,6,2,0,0,0,0
Atalanta,Fiorentina,1,0,10,16,0,0,0,0,0
Juventus,Bologna,3,0,17,9,1,0,0,0,0
Napoli,Torino,3,1,15,16,3,1,0,0,0
Inter,Roma,1,2,15,10,1,1,0,0,0
Empoli,Milan,1,3,16,19,0,0,0,0,0
Udinese,Inter,3,1,20,14,1,1,0,0,0
Cremonese,Lazio,0,4,18,14,0,3,0,0,0
Fiorentina,Verona,2,0,15,8,1,0,0,0,0
Monza,Juventus,1,0,17,10,0,0,0,0,0
Roma,Atalanta,0,1,21,4,0,1,0,0,0
Milan,Napoli,1,2,22,9,0,0,0,0,0
Bologna,Empoli,0,1,16,12,0,0,0,0,0
Spezia,Sampdoria,2,1,6,11,1,1,0,0,0
Torino,Sassuolo,0,1,12,10,0,0,0,0,0
Salernitana,Lecce,1,2,8,13,0,1,0,0,0
Empoli,Roma,1,2,20,13,1,1,0,0,0
Atalanta,Cremonese,1,1,14,7,0,0,0,0,0
Bologna,Fiorentina,2,1,12,13,0,0,0,0,0
Lecce,Monza,1,1,7,2,0,1,0,0,0
Sassuolo,Udinese,1,3,5,17,1,0,0,0,0
Lazio,Verona,2,0,15,7,0,0,0,0,0
Juventus,Salernitana,2,2,22,11,0,2,0,0,0
Napoli,Spezia,1,0,28,10,0,0,0,0,0
Inter,Torino,1,0,16,9,0,0,0,0,0
Sampdoria,Milan,1,2,10,15,0,1,0,0,0
Monza,Atalanta,0,2,11,13,0,0,0,0,0
Salernitana,Empoli,2,2,15,11,1,1,0,0,0
Torino,Lecce,1,0,13,10,1,0,0,0,0
Cremonese,Sassuolo,0,0,10,17,0,0,0,0,0
Spezia,Bologna,2,2,15,13,1,1,0,0,0
Verona,Sampdoria,2,1,17,11,2,1,0,0,0
Udinese,Roma,4,0,11,12,1,0,0,0,0
Fiorentina,Juventus,1,1,17,4,1,1,0,0,0
Milan,Inter,3,2,21,16,1,1,0,0,0
Lazio,Napoli,1,2,8,19,1,1,0,0,0
Atalanta,Torino,3,1,12,8,1,0,0,0,0
Bologna,Salernitana,1,1,11,20,0,0,0,0,0
Empoli,Verona,1,1,16,9,1,0,0,0,0
Sampdoria,Lazio,1,1,10,13,0,1,0,0,0
