HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Nantes,Toulouse,3,1,16,9,0,1,0,0,0
Brest,Montpellier,0,7,6,14,0,5,0,0,0
Lorient,Clermont,2,1,22,9,2,0,0,0,0
Nice,Marseille,0,3,16,13,0,3,0,0,0
Troyes,Angers,3,1,25,7,1,0,0,0,0
Reims,Lyon,1,1,8,18,1,0,0,0,0
Paris SG,Monaco,1,1,18,4,0,1,0,0,0
Nantes,Toulouse,3,1,16,9,0,1,0,0,0
Brest,Montpellier,0,7,6,14,0,5,0,0,0
Lorient,Clermont,2,1,22,9,2,0,0,0,0
Nice,Marseille,0,3,16,13,0,3,0,0,0
Troyes,Angers,3,1,25,7,1,0,0,0,0
Reims,Lyon,1,1,8,18,1,0,0,0,0
Paris SG,Monaco,1,1,18,4,0,1,0,0,0
Auxerre,Strasbourg,1,0,7,14,1,0,0,0,0
Lens,Rennes,2,1,17,12,0,0,0,0,0
Auxerre,Strasbourg,1,0,7,14,1,0,0,0,0
Lens,Rennes,2,1,17,12,0,0,0,0,0
Ajaccio,Lille,1,3,13,7,0,2,0,0,0
Ajaccio,Lille,1,3,13,7,0,2,0,0,0
Strasbourg,Reims,1,1,12,12,1,0,0,0,0
Angers,Brest,1,3,7,11,0,2,0,0,0
Clermont,Nice,1,0,7,13,1,0,0,0,0
Montpellier,Auxerre,1,2,13,7,1,0,0,0,0
Toulouse,Lorient,2,2,16,14,1,1,0,0,0
Rennes,Ajaccio,2,1,16,10,1,0,0,0,0
Lille,Paris SG,1,7,16,16,0,4,0,0,0
Strasbourg,Reims,1,1,12,12,1,0,0,0,0
Angers,Brest,1,3,7,11,0,2,0,0,0
Clermont,Nice,1,0,7,13,1,0,0,0,0
Montpellier,Auxerre,1,2,13,7,1,0,0,0,0
Toulouse,Lorient,2,2,16,14,1,1,0,0,0
