HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Exeter,Bristol Rvs,2,2,10,9,0,0,0,0,0
Fleetwood Town,Barnsley,0,1,4,12,0,0,0,0,0
Ipswich,Portsmouth,3,2,18,7,1,1,0,0,0
Milton Keynes Dons,Peterboro,2,3,7,20,0,2,0,0,0
Port Vale,Sheffield Weds,0,1,12,10,0,0,0,0,0
Wycombe,Plymouth,0,1,18,17,0,1,0,0,0
Plymouth,Ipswich,2,1,12,17,0,1,0,0,0
Forest Green,Exeter,0,4,8,13,0,3,0,0,0
Barnsley,Charlton,3,1,9,12,1,0,0,0,0
Bristol Rvs,Accrington,0,1,14,15,0,0,0,0,0
Morecambe,Cambridge,1,2,8,20,1,1,0,0,0
Peterboro,Port Vale,3,0,23,9,2,0,0,0,0
Sheffield Weds,Wycombe,3,1,10,7,2,1,0,0,0
Shrewsbury,Burton,2,1,6,17,1,0,0,0,0
Accrington,Cheltenham,1,0,13,11,1,0,0,0,0
Bolton,Peterboro,1,0,7,3,0,0,0,0,0
Bristol Rvs,Lincoln,3,6,15,13,1,3,0,0,0
Cambridge,Barnsley,0,3,9,10,0,1,0,0,0
Derby,Wycombe,2,1,26,12,0,1,0,0,0
Exeter,Burton,0,2,15,17,0,0,0,0,0
Fleetwood Town,Charlton,1,1,14,7,1,0,0,0,0
Forest Green,Morecambe,1,2,9,15,1,1,0,0,0
Oxford,Milton Keynes Dons,1,2,19,6,0,1,0,0,0
Port Vale,Shrewsbury,2,1,12,7,1,1,0,0,0
Portsmouth,Plymouth,2,2,12,8,1,0,0,0,0
Sheffield Weds,Ipswich,2,2,11,11,0,1,0,0,0
Barnsley,Port Vale,1,1,17,15,1,0,0,0,0
Burton,Portsmouth,0,2,9,13,0,0,0,0,0
Charlton,Forest Green,1,1,17,9,1,1,0,0,0
Cheltenham,Cambridge,2,1,13,8,0,1,0,0,0
Ipswich,Bristol Rvs,2,0,19,5,1,0,0,0,0
Lincoln,Derby,2,0,11,10,1,0,0,0,0
Milton Keynes Dons,Bolton,0,2,4,9,0,1,0,0,0
Morecambe,Sheffield Weds,0,3,4,29,0,0,0,0,0
Peterboro,Fleetwood Town,0,1,19,8,0,1,0,0,0
Plymouth,Oxford,1,0,22,8,0,0,0,0,0
Shrewsbury,Exeter,3,2,18,15,2,2,0,0,0
Wycombe,Accrington,1,0,13,18,1,0,0,0,0
Forest Green,Accrington,2,1,12,17,1,0,0,0,0
Accrington,Ipswich,0,2,10,18,0,0,0,0,0
Bolton,Charlton,3,1,17,9,2,1,0,0,0
Bristol Rvs,Morecambe,2,2,23,8,1,1,0,0,0
Cambridge,Lincoln,2,0,9,6,2,0,0,0,0
Derby,Plymouth,2,3,12,13,2,0,0,0,0
Exeter,Milton Keynes Dons,1,0,15,4,0,0,0,0,0
Fleetwood Town,Wycombe,1,1,20,7,0,1,0,0,0
Forest Green,Shrewsbury,0,2,14,5,0,1,0,0,0
Oxford,Burton,2,1,8,9,0,0,0,0,0
Port Vale,Cheltenham,2,2,10,6,2,1,0,0,0
Portsmouth,Peterboro,2,1,13,10,1,1,0,0,0
Sheffield Weds,Barnsley,0,2,11,14,0,1,0,0,0
Accrington,Exeter,0,0,18,7,0,0,0,0,0
Bristol Rvs,Shrewsbury,1,1,9,20,0,0,0,0,0
Cambridge,Burton,4,3,21,12,1,2,0,0,0
Cheltenham,Oxford,1,2,7,14,0,0,0,0,0
Derby,Peterboro,2,1,16,13,0,0,0,0,0
Ipswich,Barnsley,2,2,12,9,1,1,0,0,0
Lincoln,Fleetwood Town,2,2,6,19,2,1,0,0,0
Morecambe,Milton Keynes Dons,0,4,17,17,0,2,0,0,0
Plymouth,Bolton,2,0,9,14,1,0,0,0,0
Port Vale,Portsmouth,0,1,8,11,0,1,0,0,0
Sheffield Weds,Forest Green,5,0,15,3,4,0,0,0,0
Wycombe,Charlton,1,1,16,9,1,1,0,0,0
Barnsley,Wycombe,0,3,12,14,0,1,0,0,0
Bolton,Sheffield Weds,0,2,9,9,0,2,0,0,0
Burton,Port Vale,0,2,11,12,0,0,0,0,0
Charlton,Cambridge,1,1,15,10,1,0,0,0,0
Exeter,Cheltenham,0,1,16,4,0,0,0,0,0
Fleetwood Town,Derby,0,0,7,27,0,0,0,0,0
Forest Green,Plymouth,0,3,10,8,0,2,0,0,0
Milton Keynes Dons,Accrington,1,1,10,16,1,0,0,0,0
Oxford,Morecambe,1,1,27,3,0,0,0,0,0
Peterboro,Lincoln,4,0,14,4,3,0,0,0,0
Portsmouth,Bristol Rvs,3,1,23,8,1,0,0,0,0
Shrewsbury,Ipswich,0,3,4,13,0,1,0,0,0
Barnsley,Bristol Rvs,3,0,16,7,2,0,0,0,0
Bolton,Morecambe,1,0,16,9,1,0,0,0,0
Burton,Ipswich,0,1,14,16,0,0,0,0,0
Charlton,Plymouth,5,1,19,13,3,0,0,0,0
Exeter,Wycombe,3,1,15,11,2,0,0,0,0
Fleetwood Town,Cheltenham,0,0,14,15,0,0,0,0,0
Milton Keynes Dons,Port Vale,2,1,9,11,1,0,0,0,0
Oxford,Lincoln,1,2,15,5,0,2,0,0,0
Peterboro,Sheffield Weds,2,0,20,9,0,0,0,0,0
Portsmouth,Cambridge,4,1,9,6,1,1,0,0,0
Shrewsbury,Derby,0,0,10,12,0,0,0,0,0
Bristol Rvs,Oxford,1,0,6,7,1,0,0,0,0
Accrington,Burton,4,4,20,15,0,2,0,0,0
Cambridge,Exeter,2,1,16,17,0,1,0,0,0
Cheltenham,Portsmouth,0,2,13,16,0,1,0,0,0
Derby,Barnsley,2,1,6,8,2,0,0,0,0
Ipswich,Milton Keynes Dons,3,0,18,6,2,0,0,0,0
Lincoln,Forest Green,1,1,17,9,0,0,0,0,0
Morecambe,Fleetwood Town,1,1,15,19,1,0,0,0,0
Plymouth,Peterboro,2,0,17,5,1,0,0,0,0
Port Vale,Bolton,0,0,17,13,0,0,0,0,0
Sheffield Weds,Charlton,1,0,7,11,0,0,0,0,0
Wycombe,Shrewsbury,1,2,18,6,0,0,0,0,0
Barnsley,Cheltenham,1,0,13,7,0,0,0,0,0
Bolton,Wycombe,3,0,21,17,2,0,0,0,0
Burton,Bristol Rvs,0,4,4,23,0,4,0,0,0
Charlton,Derby,1,0,14,13,0,0,0,0,0
Exeter,Port Vale,4,0,18,6,2,0,0,0,0
Fleetwood Town,Plymouth,2,1,11,15,1,1,0,0,0
Forest Green,Ipswich,1,2,9,20,0,2,0,0,0
Milton Keynes Dons,Sheffield Weds,0,1,10,15,0,1,0,0,0
Oxford,Cambridge,1,0,15,9,0,0,0,0,0
Peterboro,Morecambe,3,0,18,7,2,0,0,0,0
Portsmouth,Lincoln,0,0,16,4,0,0,0,0,0
Shrewsbury,Accrington,0,1,13,11,0,0,0,0,0
Accrington,Charlton,2,2,22,11,0,1,0,0,0
Bristol Rvs,Forest Green,1,2,8,17,0,0,0,0,0
Cambridge,Milton Keynes Dons,1,0,12,8,1,0,0,0,0
Cheltenham,Peterboro,2,3,13,18,2,0,0,0,0
Derby,Oxford,1,0,13,7,0,0,0,0,0
Ipswich,Bolton,1,1,17,4,1,1,0,0,0
Lincoln,Exeter,1,1,11,7,0,1,0,0,0
Morecambe,Shrewsbury,0,0,7,17,0,0,0,0,0
Plymouth,Barnsley,1,0,19,9,1,0,0,0,0
Port Vale,Fleetwood Town,2,1,13,7,2,1,0,0,0
Sheffield Weds,Portsmouth,3,3,17,7,1,0,0,0,0
Wycombe,Burton,3,0,16,11,3,0,0,0,0
AFC Wimbledon,Accrington,3,4,11,18,0,3,0,0,0
Bolton,Fleetwood Town,4,2,14,10,1,1,0,0,0
Burton,Wycombe,1,2,13,12,0,1,0,0,0
Cambridge,Cheltenham,2,2,18,15,1,1,0,0,0
Gillingham,Rotherham,0,2,7,17,0,1,0,0,0
Ipswich,Charlton,4,0,21,10,2,0,0,0,0
Lincoln,Crewe,2,1,15,12,0,1,0,0,0
Morecambe,Sunderland,0,1,5,7,0,1,0,0,0
Oxford,Doncaster,1,1,14,6,1,0,0,0,0
Plymouth,Milton Keynes Dons,0,5,10,22,0,3,0,0,0
Sheffield Weds,Portsmouth,4,1,13,11,3,1,0,0,0
Shrewsbury,Wigan,0,3,7,11,0,1,0,0,0
Fleetwood Town,Sheffield Weds,2,3,5,22,2,1,0,0,0
Portsmouth,Wigan,3,2,15,12,0,2,0,0,0
Sunderland,Rotherham,1,1,5,13,0,1,0,0,0
Accrington,Lincoln,2,1,18,8,1,0,0,0,0
Charlton,Shrewsbury,2,0,16,12,0,0,0,0,0
Cheltenham,Bolton,1,2,8,13,0,0,0,0,0
Crewe,Ipswich,1,1,11,18,0,1,0,0,0
Doncaster,Burton,2,0,6,14,1,0,0,0,0
Fleetwood Town,AFC Wimbledon,1,1,10,5,0,1,0,0,0
Milton Keynes Dons,Morecambe,2,0,12,4,1,0,0,0,0
Portsmouth,Gillingham,3,1,16,9,2,1,0,0,0
Rotherham,Oxford,2,1,16,6,1,1,0,0,0
Sunderland,Cambridge,5,1,28,4,3,1,0,0,0
Wigan,Plymouth,1,1,11,5,0,0,0,0,0
Wycombe,Sheffield Weds,1,0,6,15,0,0,0,0,0
Burton,Rotherham,2,0,13,21,1,0,0,0,0
Cambridge,Charlton,0,2,10,14,0,0,0,0,0
Ipswich,Wigan,2,2,10,7,0,1,0,0,0
Oxford,Milton Keynes Dons,1,0,8,10,0,0,0,0,0
Sheffield Weds,Crewe,1,0,18,1,0,0,0,0,0
AFC Wimbledon,Wycombe,1,1,9,17,1,0,0,0,0
Bolton,Accrington,3,1,17,15,1,0,0,0,0
Gillingham,Fleetwood Town,0,0,16,7,0,0,0,0,0
Lincoln,Cheltenham,3,0,15,11,3,0,0,0,0
Morecambe,Portsmouth,1,1,19,9,0,1,0,0,0
Plymouth,Sunderland,0,0,7,10,0,0,0,0,0
Shrewsbury,Doncaster,3,3,19,17,3,0,0,0,0
Rotherham,Ipswich,1,0,14,3,0,0,0,0,0
Wigan,Cambridge,1,2,11,9,0,2,0,0,0
Milton Keynes Dons,Sheffield Weds,2,3,10,6,1,3,0,0,0
Accrington,Burton,0,0,17,6,0,0,0,0,0
Charlton,Morecambe,2,3,23,11,0,2,0,0,0
Cheltenham,Gillingham,2,2,18,12,1,1,0,0,0
Crewe,AFC Wimbledon,3,1,21,12,0,1,0,0,0
Doncaster,Bolton,1,2,19,11,0,0,0,0,0
Fleetwood Town,Oxford,2,3,19,11,1,3,0,0,0
Portsmouth,Lincoln,3,2,17,26,0,0,0,0,0
Sunderland,Shrewsbury,3,2,18,9,2,0,0,0,0
